State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NE,94221,96624,101163,108334,107127,102134,107674,116443,129823,132426,139324,142822,155550,163493,153188,149936,158184,168375,172968,156116,141002,131799,135509,144332,141399,141050,141525,148017,161225,153416,151842,148328,154150,150645,153903,163477,177952,180913,188843,194152,172532,162383,167087,172444,173762,172823,174913,177131,176723,176690,203791,197563,190618,191742,198387,197918,196790,198571,207165,206891
NH,33680,35122,35657,36650,37780,37345,40709,44988,47517,48630,50712,52923,55069,56834,56615,56621,59805,62329,63585,65314,57873,56210,56118,57206,62668,62955,68908,74832,77318,76524,72989,74312,73745,75190,77427,80643,82930,87422,95884,99555,101593,101737,113405,106262,108870,103947,103935,105661,103260,102856,104681,102069,99892,101130,102049,101206,101176,101802,102953,103199
NJ,337963,330040,364887,383318,399704,399654,417863,438642,463980,465609,493154,510332,556375,558985,528765,519476,549119,549897,568612,552362,566345,614972,714750,764809,797550,796824,826257,840590,803708,827139,798501,808065,811443,770250,843820,857742,827626,837099,849878,848846,905851,881412,888669,869523,901115,974228,977700,1028119,1034435,885543,791065,792171,754975,760354,748280,745881,776330,741285,766108,719727
NM,91495,101786,108739,111915,109081,114959,112959,117206,128538,133432,138476,142560,159294,158879,160039,158105,163095,164222,173990,173599,176352,193266,174915,158784,141950,163649,170061,177792,192216,205982,230438,225511,211705,223530,213109,195058,186613,233533,230985,230756,226271,229939,225549,218329,225728,219163,226922,217687,201513,197860,192895,198767,199079,199872,206420,208867,205210,219302,226367,230054
NV,42128,46495,52523,55192,59623,55891,56519,60568,70357,72607,73099,75199,81261,88446,87395,92134,96458,102370,113267,113529,116207,114936,113046,115444,110017,111173,115443,126816,131203,132861,132736,138198,141152,146016,154154,161155,178132,177800,183785,196380,204781,205062,208486,214567,228042,238011,253265,256014,231392,210168,247444,244306,243459,249002,246992,250288,261783,271098,273277,273489
NY,802177,820831,817509,837512,859258,884555,930721,982928,1017671,1076023,1099019,1136017,1133198,1185048,1069501,1049817,1108583,1094924,1102679,1088838,1027299,961488,862622,789318,724758,845257,861713,909932,869081,875391,929238,903756,881198,895308,883923,911249,952834,952014,959501,967022,971292,968183,990141,1058979,1102770,1068316,1091444,1089875,1087426,1063286,1232137,1160418,1132328,1144299,1211114,1185419,1228842,1238529,1246738,1211363
OH,485493,476797,501851,512757,532759,547122,576526,589622,627103,652900,673840,690829,745120,775901,752314,762081,799419,815838,837782,814962,787398,763821,735877,738033,749609,758279,785434,811202,818503,824533,803352,794158,787556,823223,838461,852980,884393,914038,930745,958102,984883,977991,984705,992414,1014206,1012499,1021249,1028494,983238,923412,896056,883912,856422,871643,892399,893718,889493,897098,902967,893583
OK,150704,156466,164839,173978,177495,181452,191749,199061,215738,221482,241452,247329,262416,272534,269250,278451,298112,312494,320848,318780,308459,330085,350617,345022,345747,340783,324441,331045,337054,356262,340214,348184,374952,363564,376090,359989,381541,375036,382455,400473,425637,465135,435153,444999,412086,438257,449700,459438,462022,442492,444598,434206,436353,434752,469491,459185,461917,470130,480425,464018
OR,111092,115567,119261,122235,126944,133578,146168,151597,171929,175449,182682,191250,206121,219989,210357,213818,226422,241437,264161,271247,239648,249758,250383,236388,231840,241257,246074,263025,281176,284161,280250,301182,304262,292806,301285,297074,308018,310825,326162,329116,320068,306299,312439,310257,321816,330136,338005,344006,323661,325708,318392,303109,298409,300581,303680,299363,300771,308857,318161,312396
PA,536168,515926,531989,554444,566324,571422,593192,628075,677980,688323,718209,746709,799257,813335,782659,769383,838237,857195,866872,850573,817752,776148,729931,741976,758211,763291,793230,839104,870488,819936,842565,840036,856858,877822,886387,901564,896275,933764,956955,967891,998682,995681,999738,987990,1016450,1033737,1028918,1023385,973093,963206,963575,960306,944380,943708,943575,921294,906308,914862,913628,917092
