Area Name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Michigan,"8,781,000","8,896,558","8,971,835","9,024,681","9,071,764","9,109,374","9,107,840","9,117,481","9,157,247","9,201,953","9,248,814","9,255,553","9,209,287","9,115,196","9,047,764","9,049,454","9,076,287","9,127,774","9,187,484","9,218,002","9,253,298","9,311,319","9,400,446","9,479,065","9,540,114","9,597,737","9,676,211","9,758,645","9,809,051","9,847,942","9,897,116","9,952,450","9,991,120","10,015,710","10,041,152","10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591"
Minnesota,"3,758,000","3,815,249","3,851,901","3,866,878","3,885,164","3,898,450","3,925,793","3,956,602","3,979,844","4,004,676","4,038,150","4,085,017","4,111,733","4,131,450","4,141,458","4,157,704","4,184,301","4,205,213","4,235,136","4,296,163","4,338,056","4,389,857","4,440,859","4,495,572","4,555,954","4,610,355","4,660,180","4,712,827","4,763,390","4,813,412","4,873,481","4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203"
Mississippi,"2,220,000","2,221,128","2,265,529","2,307,291","2,349,802","2,378,603","2,399,924","2,430,324","2,459,810","2,488,033","2,507,967","2,525,342","2,539,032","2,556,776","2,567,719","2,578,053","2,588,103","2,593,596","2,588,545","2,580,349","2,574,272","2,578,897","2,598,733","2,623,734","2,655,100","2,688,992","2,722,659","2,748,085","2,777,004","2,804,834","2,828,408","2,848,353","2,852,994","2,858,681","2,868,312","2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774"
Missouri,"4,640,000","4,684,768","4,722,703","4,753,234","4,774,601","4,785,391","4,795,383","4,823,554","4,845,042","4,871,171","4,889,327","4,921,966","4,932,069","4,929,456","4,943,735","4,975,276","5,000,260","5,023,055","5,056,702","5,081,737","5,095,844","5,128,880","5,170,800","5,217,101","5,271,175","5,324,497","5,378,247","5,431,553","5,481,193","5,521,765","5,561,948","5,607,285","5,641,142","5,674,825","5,709,403","5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088"
Montana,"694,000","697,172","711,037","719,138","727,389","737,203","749,208","758,521","771,354","784,043","789,167","788,752","795,325","803,984","814,029","820,904","822,320","813,738","805,064","800,200","799,634","800,204","809,680","825,770","844,761","861,306","876,553","886,254","889,865","892,431","897,507","903,773","906,961","911,667","919,630","930,009","940,102","952,692","964,706","976,415","983,982"
Nebraska,"1,474,000","1,487,963","1,504,208","1,518,293","1,528,517","1,537,809","1,541,440","1,548,901","1,554,466","1,560,826","1,564,356","1,572,296","1,578,517","1,581,776","1,584,293","1,588,638","1,584,661","1,574,328","1,566,544","1,571,477","1,574,858","1,581,660","1,595,919","1,611,687","1,625,590","1,639,041","1,656,992","1,673,740","1,686,418","1,695,816","1,704,764","1,713,820","1,719,836","1,728,292","1,738,643","1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683"
Nevada,"480,000","493,223","519,989","546,736","568,910","596,713","619,847","646,823","678,134","719,345","765,121","810,215","847,656","881,538","901,978","924,921","951,032","980,614","1,023,374","1,075,023","1,137,382","1,220,695","1,296,171","1,351,367","1,411,215","1,499,298","1,581,578","1,666,320","1,764,104","1,853,191","1,934,718","2,018,741","2,098,399","2,173,791","2,248,850","2,346,222","2,432,143","2,522,658","2,601,072","2,653,630","2,684,665"
New Hampshire,"724,000","741,932","762,173","781,699","801,824","817,073","830,025","847,025","871,860","893,974","911,893","924,250","936,621","947,720","958,134","976,863","996,753","1,025,054","1,054,289","1,082,576","1,104,523","1,112,384","1,109,929","1,117,784","1,129,458","1,142,560","1,157,561","1,174,719","1,189,425","1,205,940","1,222,014","1,239,882","1,255,517","1,269,089","1,279,840","1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102"
New Jersey,"7,095,000","7,190,282","7,281,935","7,336,538","7,335,240","7,335,227","7,341,417","7,344,079","7,342,027","7,356,414","7,373,048","7,376,330","7,407,471","7,430,970","7,467,784","7,515,474","7,565,530","7,622,161","7,670,741","7,712,333","7,726,086","7,762,963","7,814,676","7,880,508","7,948,915","8,014,306","8,083,242","8,149,596","8,218,808","8,287,418","8,359,592","8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602"
New Mexico,"1,011,000","1,023,206","1,053,258","1,077,815","1,104,225","1,129,568","1,162,682","1,195,162","1,225,245","1,251,848","1,280,539","1,309,400","1,332,747","1,363,822","1,394,362","1,416,719","1,438,360","1,462,728","1,478,519","1,490,336","1,503,901","1,521,574","1,555,305","1,595,442","1,636,453","1,682,398","1,720,394","1,752,326","1,774,839","1,793,484","1,808,082","1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802"
