State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OK,17766,20187,16660,10640,11373,16230,13064,14604,23406,26940,21730,21321,26724,50756,48830,42644,29303,32743,37416,46806,24855,23520,36159,39240,39702,57000,45180,45998,37117,50344,49914,41216,53293,67957,50125,53290,51673,55183,60591,55318,47389,48390,40915,41954,62058,61329,50325,74304,75383,81605,96019,100945,119647,164988,163029,187199,243568,274846,308585,332311
OR,190489,188915,197646,199225,215793,230410,232649,243110,271743,350230,371350,419311,435930,351043,432867,417387,434370,327769,408647,387287,401129,428803,561110,574196,590527,529624,532746,477093,470568,481678,487410,484638,374214,414153,367996,467164,517451,530595,454349,509832,436666,349949,400635,384479,384623,364066,433011,396905,414463,415665,398724,517348,498497,463400,485336,438902,468057,501356,486889,426251
PA,66100,61121,61767,60798,60590,61262,63676,68253,62881,61805,67525,60573,70114,70871,72077,73865,81184,84322,90536,106837,136826,147662,149605,167142,152019,148238,117214,108025,108182,98078,91855,90246,107587,104764,112111,113291,131090,114660,110545,109245,113589,95728,96601,109946,110371,104225,107632,106474,117868,128938,159219,178974,168698,200322,197329,200440,196630,204769,220272,201471
RI,2951,3011,3139,3221,3533,3561,3771,4150,4266,4428,5268,4851,4934,5108,5023,4050,4704,5295,6577,7124,7287,6645,6053,7401,4946,5081,4653,3302,3528,3806,4499,4585,4840,5181,5066,5079,5562,4347,4197,4403,4520,3899,3700,3787,3846,879,2631,2781,2967,3566,3724,3679,2960,2702,4421,4886,4700,5966,6661,8793
SC,81969,76284,73455,69832,87558,77346,67699,66176,69381,73251,65064,78568,77077,83883,79895,87805,83353,80884,83872,91528,71184,52168,69144,75398,80275,66594,89782,95655,82436,97057,106105,107666,110649,110225,114631,124701,131794,131983,129956,96967,92462,70574,80639,103796,97431,104205,100251,98956,96543,103035,115370,117506,119714,134299,137000,128618,131043,132532,147094,149840
SD,13974,13609,17252,31784,33645,41595,51565,52576,59858,67419,70185,82558,78339,51534,60394,83960,74830,57133,72806,67819,63775,58574,60267,61572,63771,59844,64005,59702,59484,52343,44413,43560,41061,30241,57086,66206,86847,95920,62841,72609,62868,41313,55199,67639,83757,93723,114833,115685,144447,179384,209935,234103,217380,208226,221052,224401,235804,239116,251690,261949
TN,138708,136653,145125,127030,141564,138006,128629,147297,132020,131914,138417,153090,173103,177886,180418,177299,160069,176225,163042,207250,160372,136647,184404,190439,203804,167033,156686,175575,149034,205580,165785,180359,170092,153217,186212,165142,176855,164091,161573,134427,123662,142349,153221,190000,185184,167074,143514,116437,135440,179235,166482,178954,166376,209977,178817,181848,153938,166114,185787,180608
TX,50155,52023,47721,42718,43884,48967,51980,49944,62939,64351,62757,60471,67560,78102,76691,75872,75965,82566,84175,89721,65819,70520,80452,75817,87064,93532,110360,116905,108936,125459,115294,120330,133852,117228,114097,117889,110535,122666,110071,93994,96071,96535,121028,115457,120813,138301,154259,197392,306975,304805,389935,445572,461674,500529,545439,582669,708726,809867,900822,962899
UT,5494,4591,6192,5699,10151,11501,10173,13266,12791,13957,10079,12615,15234,14683,12440,14074,14974,11709,12093,13634,13025,12388,16757,21168,21624,18680,22999,14262,11778,11676,10774,12553,12378,14575,13808,15540,17160,20402,19503,20361,15405,10816,10879,10252,10581,13607,13202,11031,13953,15951,17678,24387,21019,17178,22235,23993,36561,53279,50354,48216
VA,69706,66456,67678,64267,63580,63439,64055,61774,63863,64159,62711,66364,70488,69214,66085,66861,76045,73803,86397,95181,85571,79291,93492,95860,102908,99955,83623,85820,78435,96553,104855,106699,110242,119272,122634,126481,136360,123587,123068,120213,114065,92832,77071,104227,110959,127185,119684,117796,117907,115242,110820,104936,102372,118391,135862,137547,139773,140883,159813,142617
VT,17339,15369,15682,13995,13500,14396,15557,15167,15086,16109,14717,14594,15955,17149,16134,16361,19325,19373,20504,22340,22881,24825,22667,26554,26036,26890,23871,23132,21704,20018,19484,17310,16014,18238,19068,19167,21867,19949,20290,20800,21389,17341,22714,24054,22040,24325,27595,18652,27030,31572,32420,30555,26308,33314,32831,38784,35635,37780,41537,40966
WA,428129,455762,476680,514264,557343,581530,617245,678045,736245,772827,796121,817275,854559,783243,926539,935362,1051188,773465,1002202,900631,951633,1074488,1008273,1005126,982001,917722,943292,850801,835492,855589,1004344,1007480,803146,791624,773994,942015,1109139,1158984,901989,1081815,908860,659060,887900,829196,817635,807731,928254,884848,882230,832840,822184,1063525,1019834,928038,940937,872328,930774,950196,937696,779010
WI,64968,60619,61695,55114,54980,61690,60892,61003,65830,62804,58313,61793,65646,67818,65621,66067,69570,74518,90777,92876,187312,196641,195431,217656,215468,217765,161718,152842,157160,123657,102565,108259,108919,104600,106756,111558,123860,123191,108155,114212,113325,121849,101548,115460,108745,144880,144626,150029,178497,171839,204261,208301,199588,206192,216236,223327,223484,223178,230846,230974
WV,23464,23666,23755,21029,21666,20560,20101,22471,21573,21430,21152,22281,24771,24229,23779,22798,24758,24320,27252,33875,23421,22022,25803,23389,25619,25050,31416,28499,29016,25599,18512,16399,18470,18459,18699,19453,22037,17582,16211,14808,17379,14725,15137,19809,19228,28331,28268,26024,29407,45121,45978,47220,44878,53863,50019,37954,39651,41636,45409,41953
WY,8174,8273,11746,10641,10613,10793,11106,9641,11560,12992,12129,15331,13492,14024,16196,13226,12547,9937,12774,13906,14250,12117,12241,15778,17197,14997,16232,11117,11398,10449,9451,10494,8786,10208,11936,10703,14832,16423,15921,14339,15236,14909,12630,12064,14434,19105,19351,18322,21703,34009,44768,60357,53775,53121,54137,49879,54564,55912,51479,53219
US,2928205,2952227,3117444,3096431,3225249,3395816,3432463,3690213,3772655,4094893,4070021,4262212,4382009,4410938,4741851,4687119,4727151,4208966,5005439,5122854,5424534,5417152,5980930,6495613,6438346,6084015,6111141,5624499,5456756,6234663,6041895,6067786,5820551,6079641,5987153,6557307,7010888,7014328,6492764,6516554,6101704,5166136,5730901,5942471,6062672,6219269,6586244,6510367,7191546,7624912,8313761,9299548,8886019,9417903,9766394,9728632,10425079,11199777,11508940,11526539
