State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MT,4575,4695,4944,5101,5541,6080,6904,6612,7433,8781,8750,8890,8937,8217,9171,8948,9911,10013,10786,11129,10825,10956,10276,9813,13880,13700,13820,12423,12942,13061,13125,13407,13096,12929,13184,13419,13820,11917,14145,13282,14580,11447,12831,12825,12957,13479,13815,15532,15326,14354,13771,13788,13863,14045,14102,14207,14101,14710,14839,15321
NC,17236,18114,19741,21237,24025,24668,27105,29899,33749,37294,40456,43568,46542,51552,51057,51553,55006,58737,60354,61498,63889,65309,62343,66218,71667,72287,77436,82610,85540,88209,89924,92316,94195,99778,99789,104673,108296,109050,113596,115015,119855,119027,122686,121335,125657,128335,126699,131881,130069,127658,136415,131085,128085,129780,133133,133848,134404,131421,138287,136436
ND,1153,1201,1290,1399,1486,1596,2097,2198,2389,2569,2815,2988,3344,3656,3784,3712,3970,4220,4935,5234,5177,5571,5983,5739,6743,7026,6849,6597,7107,7062,7014,7255,7128,7432,7681,7883,8314,8282,8220,9112,9413,9810,10219,10461,10516,10840,11245,11906,12416,12649,12956,13737,14717,16033,18240,18129,18520,20140,20670,21559
NE,4065,4427,4790,5221,5571,6022,6098,6102,7391,8915,9757,10272,9929,10703,10951,11553,12081,12415,13095,13356,13744,14006,13972,14989,15636,15702,15880,16185,17259,17567,17868,18605,17784,18749,19873,20892,21497,22582,23145,22810,24349,24723,25661,25857,25876,26976,27276,28248,28821,28452,29849,29676,30828,30701,30222,29495,30199,30359,30939,30383
NH,1586,1686,1809,1938,2082,2237,2400,2682,3029,3311,3627,3997,4444,4820,4808,4870,5271,5414,5776,5966,5994,6084,6029,6270,6786,7407,7872,8373,8848,9086,8980,8762,8954,8761,8956,9007,9146,9167,9303,9888,10159,10316,10383,10973,10973,11245,11094,11236,10977,10698,10890,10869,10870,11043,10944,10999,10905,10787,11046,10712
NJ,17496,19081,20502,21964,23777,25878,28420,30090,32601,35637,38184,39990,42350,45500,44142,42950,45007,46213,47945,48551,49585,49635,48752,50924,52586,53832,55993,58746,62112,63359,62857,64683,63122,65621,66258,66754,66889,65915,68162,70703,69977,73177,74603,76383,77593,81897,79681,81934,80520,75780,79179,76860,75053,74642,73866,75490,75359,73383,76017,73917
NM,3383,3638,3943,4227,4566,3773,4142,4426,4771,5208,5603,6126,6627,7063,7071,6660,7207,7679,8050,8582,8778,8867,8847,8816,11041,11873,11901,12332,12755,13370,13821,14084,14431,14927,15859,16416,17173,17528,18173,18041,18801,18727,19207,19330,19846,20639,21435,22267,22038,21647,22428,23042,23179,23065,23115,23094,23040,23010,24049,24880
NV,2167,2660,2841,3241,3653,3563,4343,4647,4750,5399,5693,6056,6737,7439,7721,7643,7743,8032,8896,10340,10408,10314,10568,10465,10976,11341,11654,12754,13684,14968,16352,16625,17696,18499,20036,20659,22574,24219,25037,26253,27792,28167,29204,30132,31312,32501,34586,35643,35192,34284,33773,33916,35180,35211,35076,36020,36145,36658,37780,36982
NY,46516,49120,55165,58107,61528,65800,70048,73629,77492,83590,87800,90284,93828,99996,96480,95841,98384,101347,103388,104893,105310,107686,105979,109498,111910,112674,114908,118970,125643,128203,129324,129411,128470,130170,131177,130471,131527,131944,134196,139378,142027,144181,147440,144045,145082,150148,142238,148178,144053,140034,144624,144047,143163,147895,147372,148914,147803,144992,149930,145600
OH,57718,58467,61015,63855,65870,66702,68660,71943,77273,82225,85220,89124,98029,107347,106462,103579,112257,120179,119257,121514,112111,113155,101930,106820,121316,124275,124239,130383,134316,141624,142465,145658,145016,148571,154377,158626,158587,158508,159793,164271,165195,155798,153407,152230,154221,160176,153429,161771,159389,146300,154145,154746,152457,150307,150680,149213,150598,146644,152915,148522
OK,6838,7218,8112,9081,9760,10594,11599,12140,13491,15169,16596,17760,20474,21713,22833,23266,24459,26813,28543,28805,31109,34358,35794,36969,35829,36682,35759,36096,37326,37007,42504,39404,38267,40531,41143,41392,43291,44453,47897,46737,49564,49667,49485,50428,50942,53707,54905,55193,56279,54545,57846,59847,59341,59929,61573,61336,61517,60492,64575,64796
OR,13593,14220,15147,15704,17828,18893,20139,21455,22850,24592,25648,27256,27873,29495,30638,33302,34974,34288,36004,38273,37848,37645,34791,33730,38068,35947,35066,37713,39312,41619,42977,43651,42910,44578,44971,45725,48410,48552,46907,47544,50330,45885,45255,45195,45636,46419,48069,48697,49187,47567,46026,47171,46689,47641,47335,47264,47349,50044,49326,50404
