Year,State,PHEV sales,BEV sales
2026,IA,3906.0000000000114,5505.000000000003
2027,IA,4526.000000000014,6331.000000000004
2028,IA,5146.0000000000155,7157.000000000005
2029,IA,5766.000000000017,7983.0000000000055
2030,IA,6386.000000000019,8809.000000000005
2031,IA,7006.000000000021,9635.000000000005
2032,IA,7626.000000000023,10461.000000000005
2033,IA,8246.000000000025,11287.000000000005
2034,IA,8866.000000000027,12113.000000000005
2035,IA,9486.00000000003,12939.000000000005
2036,IA,10106.000000000031,13765.000000000005
2037,IA,10726.000000000033,14591.000000000005
2038,IA,11346.000000000035,15417.000000000005
2039,IA,11966.000000000036,16243.000000000005
2040,IA,12586.000000000038,17069.000000000007
2041,IA,13206.00000000004,17895.000000000007
2022,KY,1111.9999999999998,2208.9999999999986
2023,KY,1569.9999999999995,2946.9999999999973
2024,KY,2027.9999999999993,3684.999999999996
2025,KY,2485.999999999999,4422.9999999999945
2026,KY,2943.999999999999,5160.999999999994
2027,KY,3401.999999999999,5898.999999999993
2028,KY,3859.999999999999,6636.999999999992
2029,KY,4317.999999999999,7374.999999999991
2030,KY,4775.999999999999,8112.99999999999
2031,KY,5233.999999999999,8850.999999999989
2032,KY,5691.999999999999,9588.999999999987
2033,KY,6149.999999999999,10326.999999999985
2034,KY,6607.999999999999,11064.999999999984
2035,KY,7065.999999999999,11802.999999999982
2036,KY,7523.999999999999,12540.99999999998
2037,KY,7981.999999999999,13278.999999999978
2038,KY,8439.999999999998,14016.999999999976
2039,KY,8897.999999999998,14754.999999999975
2040,KY,9355.999999999998,15492.999999999973
2041,KY,9813.999999999998,16230.99999999997
2022,LA,1239.9999999999982,1790.0000000000005
2023,LA,1794.9999999999964,2424.000000000001
2024,LA,2349.9999999999945,3058.0000000000014
2025,LA,2904.9999999999927,3692.000000000002
2026,LA,3459.999999999991,4326.000000000002
2027,LA,4014.999999999989,4960.000000000002
2028,LA,4569.999999999987,5594.000000000002
2029,LA,5124.999999999985,6228.000000000002
2030,LA,5679.999999999984,6862.000000000002
2031,LA,6234.999999999982,7496.000000000002
2032,LA,6789.99999999998,8130.000000000002
2033,LA,7344.999999999978,8764.000000000002
2034,LA,7899.999999999976,9398.000000000002
2035,LA,8454.999999999975,10032.000000000002
2036,LA,9009.999999999973,10666.000000000002
2037,LA,9564.99999999997,11300.000000000002
2038,LA,10119.999999999969,11934.000000000002
2039,LA,10674.999999999967,12568.000000000002
2040,LA,11229.999999999965,13202.000000000002
2041,LA,11784.999999999964,13836.000000000002
2022,MI,7414.000000000002,9723.000000000002
2023,MI,10776.000000000004,13021.000000000004
2024,MI,14138.000000000005,16319.000000000005
2025,MI,17500.000000000007,19617.000000000007
2026,MI,20862.000000000007,22915.000000000007
2027,MI,24224.000000000007,26213.000000000007
2028,MI,27586.000000000007,29511.000000000007
2029,MI,30948.000000000007,32809.00000000001
2030,MI,34310.00000000001,36107.00000000001
2031,MI,37672.00000000001,39405.00000000001
2032,MI,41034.00000000001,42703.00000000001
2033,MI,44396.00000000001,46001.00000000001
2034,MI,47758.00000000001,49299.00000000001
2035,MI,51120.00000000001,52597.00000000001
2036,MI,54482.00000000001,55895.00000000001
2037,MI,57844.00000000001,59193.00000000001
2038,MI,61206.00000000001,62491.00000000001
2039,MI,64568.00000000001,65789.00000000001
2040,MI,67930.00000000001,69087.00000000001
2041,MI,71292.00000000001,72385.00000000001
2022,MN,2754.0,5539.366062255738
2023,MN,3770.0,5953.19227091278
2024,MN,4786.0,8274.67671454584
2025,MN,5802.0,9269.30581262448
2026,MN,6818.0,10338.465181500082
2027,MN,7834.0,12836.225917245298
2028,MN,8850.0,14017.602493756938
2029,MN,9866.0,15690.948059914392
