Vehicle,Type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Toyota RAV4,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.0,45070.0,50559.0,48122.0,92525.0
Acura NSX,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,581.0,170.0,238.0
Kia Niro,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27237.0,25743.0,18336.0
Hyundai Ioniq Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10770.0,13068.0,15558.0
Acura MDX Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807.0,2106.0,2130.0
GMC Sierra Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3643.0,114.0
Lexus LC500h,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,37.0
Nissan Rogue Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3363.0,4205.0
Lexus LS 500h,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0
Lexus UX,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8603.0
Toyota Corolla,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16299.0
Chevy Volt,PHEV,,,,,,,,,,,,,7671.0,23461.0,23094.0,18805.0,15393.0,24739.0,20349.0,18306.0,4915.0
Nissan Leaf,EV,,,,,,,,,,,,,9674.0,9819.0,22610.0,30200.0,17269.0,14006.0,11230.0,14715.0,12365.0
Smart ED,EV,,,,,,,,,,,,,342.0,139.0,923.0,2594.0,1387.0,657.0,544.0,1219.0,680.0
Mitsubishi I EV,EV,,,,,,,,,,,,,76.0,588.0,1029.0,196.0,115.0,94.0,6.0,0.0,0.0
BMW Active E,EV,,,,,,,,,,,,,0.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prius PHEV,PHEV,,,,,,,,,,,,,0.0,12749.0,12088.0,13264.0,4191.0,2474.0,20936.0,27595.0,23630.0
Ford Focus EV,EV,,,,,,,,,,,,,0.0,683.0,1738.0,1964.0,1582.0,901.0,1817.0,560.0,0.0
Honda Fit EV,EV,,,,,,,,,,,,,0.0,93.0,569.0,407.0,2.0,0.0,0.0,0.0,0.0
