Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2019,ND,Total,"(2, 1, 0)",1,141.2659832,[141.26596359 141.26600279],-63.76728803,-100.4339547,-69.90434442,114,27.26598319,27.26598319
2019,ND,Total,"(2, 1, 0)",2,30.08190851,[30.08188563 30.08193139],-62.30760413,-98.97427079,-68.44466051,114,-83.91809149,83.91809149
2019,ND,Total,"(1, 1, 0)",3,76.51431429,[76.51428738 76.51434119],-47.88056719,-83.88056719,-53.40391794,114,-37.48568571,37.48568571
2019,ND,Total,"(1, 1, 0)",4,-380.0586097,[-380.05863661 -380.05858275],-65.82275157,-101.8227516,-71.34610232,114,-494.0586097,494.0586097
2019,SD,Total,"(1, 1, 0)",1,37.04330897,[37.04328937 37.04332857],-65.74855467,-101.7485547,-71.27190542,186,-148.956691,148.956691
2019,SD,Total,"(1, 1, 0)",2,141.3174756,[141.31745327 141.3174979 ],-48.70588229,-84.70588229,-54.22923304,186,-44.68252442,44.68252442
2019,SD,Total,"(0, 1, 0)",3,31.58975953,[31.58972558 31.58979348],-47.56392159,-83.56392159,-52.4735667,186,-154.4102405,154.4102405
2019,SD,Total,"(0, 1, 0)",4,-194.1585986,[-194.1586378 -194.1585594],-47.56392159,-83.56392159,-52.4735667,186,-380.1585986,380.1585986
2019,TX,Total,"(0, 1, 0)",1,13204.16302,[13204.16300069 13204.16303989],-47.56392159,-83.56392159,-52.4735667,5780,7424.16302,7424.16302
2019,TX,Total,"(0, 1, 0)",2,6328.397357,[6328.39732905 6328.39738449],-47.56392159,-83.56392159,-52.4735667,5780,548.3973568,548.3973568
2019,TX,Total,"(0, 1, 0)",3,6865.889437,[6865.88940342 6865.88947132],-47.56392159,-83.56392159,-52.4735667,5780,1085.889437,1085.889437
2019,TX,Total,"(1, 1, 0)",4,1625.32047,[1625.32043995 1625.32049951],-48.3086398,-84.3086398,-53.83199055,5780,-4154.67953,4154.67953
2019,WI,Total,"(0, 1, 0)",1,1774.260872,[1774.26085281 1774.26089201],-47.56392159,-83.56392159,-52.4735667,1962,-187.7391276,187.7391276
2019,WI,Total,"(2, 1, 0)",2,2607.761201,[2607.76117375 2607.76122919],-63.15216191,-99.81882857,-69.28921829,1962,645.7612015,645.7612015
2019,WI,Total,"(0, 1, 0)",3,4139.044861,[4139.04482696 4139.04489486],-47.56392159,-83.56392159,-52.4735667,1962,2177.044861,2177.044861
2019,WI,Total,"(0, 1, 0)",4,6899.491273,[6899.49123422 6899.49131262],-47.56392159,-83.56392159,-52.4735667,1962,4937.491273,4937.491273
2020,AL,Total,"(0, 1, 0)",2,1639.598281,[1639.59825321 1639.59830865],-47.56392159,-83.56392159,-52.4735667,986,653.5982809,653.5982809
2020,AL,Total,"(2, 1, 0)",3,327.7907109,[327.79067145 327.79075039],-63.93224652,-100.5989132,-70.06930291,986,-658.2092891,658.2092891
2020,AL,Total,"(0, 1, 0)",4,318.8647097,[318.86467053 318.86474893],-47.56392159,-83.56392159,-52.4735667,986,-667.1352903,667.1352903
2020,AR,Total,"(0, 1, 0)",2,357.9786331,[357.9786054  357.97866084],-47.56392159,-83.56392159,-52.4735667,433,-75.02136688,75.02136688
2020,AR,Total,"(2, 1, 0)",3,35.04762513,[35.04758827 35.04766199],-63.55878866,-100.2254553,-69.69584505,433,-397.9523749,397.9523749
2020,AR,Total,"(0, 1, 0)",4,289.133499,[289.13345978 289.13353818],-47.56392159,-83.56392159,-52.4735667,433,-143.866501,143.866501
2020,IA,Total,"(0, 1, 0)",2,2337.750989,[2337.75096154 2337.75101697],-47.56392159,-83.56392159,-52.4735667,735,1602.750989,1602.750989
2020,IA,Total,"(0, 1, 0)",3,956.8039244,[956.80389048 956.80395837],-47.56392159,-83.56392159,-52.4735667,735,221.8039244,221.8039244
2020,IA,Total,"(1, 1, 0)",4,457.9867572,[457.9867276  457.98678679],-49.35031564,-85.35031564,-54.87366639,735,-277.0132428,277.0132428
2020,IL,Total,"(1, 1, 0)",2,17062.89313,[17062.89309547 17062.89317384],-65.82231269,-101.8223127,-71.34566344,7943,9119.893135,9119.893135
2020,IL,Total,"(0, 1, 0)",3,17616.64139,[17616.64135206 17616.64141996],-47.56392159,-83.56392159,-52.4735667,7943,9673.641386,9673.641386
2020,IL,Total,"(0, 1, 0)",4,2871.746673,[2871.74663365 2871.74671205],-47.56392159,-83.56392159,-52.4735667,7943,-5071.253327,5071.253327
2020,IN,Total,"(0, 1, 0)",2,2750.276487,[2750.27645895 2750.27651438],-47.56392159,-83.56392159,-52.4735667,2139,611.2764867,611.2764867
2020,IN,Total,"(2, 1, 0)",3,994.0862831,[994.08625397 994.08631228],-62.22733544,-98.8940021,-68.36439183,2139,-1144.913717,1144.913717
2020,IN,Total,"(0, 1, 0)",4,39.5186394,[39.5186002 39.5186786],-47.56392159,-83.56392159,-52.4735667,2139,-2099.481361,2099.481361
2020,KY,Total,"(0, 1, 0)",2,1826.669682,[1826.66965475 1826.66971019],-47.56392159,-83.56392159,-52.4735667,929,897.6696825,897.6696825
2020,KY,Total,"(0, 1, 0)",3,-2308.263882,[-2308.26391608 -2308.26384818],-47.56392159,-83.56392159,-52.4735667,929,-3237.263882,3237.263882
2020,KY,Total,"(0, 1, 0)",4,1052.28683,[1052.28679055 1052.28686894],-47.56392159,-83.56392159,-52.4735667,929,123.2868297,123.2868297
2020,LA,Total,"(0, 1, 0)",2,1458.057655,[1458.05762736 1458.05768279],-47.56392159,-83.56392159,-52.4735667,652,806.0576551,806.0576551
2020,LA,Total,"(1, 1, 0)",3,262.9639577,[262.96393079 262.96398453],-48.01301677,-84.01301677,-53.53636752,652,-389.0360423,389.0360423
2020,LA,Total,"(2, 1, 0)",4,-44.75925249,[-44.75927734 -44.75922763],-63.98644106,-100.6531077,-70.12349745,652,-696.7592525,696.7592525
2020,MI,Total,"(0, 1, 0)",2,5480.01341,[5480.01338194 5480.01343737],-47.56392159,-83.56392159,-52.4735667,3817,1663.01341,1663.01341
2020,MI,Total,"(0, 1, 0)",3,2598.451511,[2598.45147752 2598.45154541],-47.56392159,-83.56392159,-52.4735667,3817,-1218.548489,1218.548489
2020,MI,Total,"(0, 1, 0)",4,28449.70749,[28449.70745315 28449.70753155],-47.56392142,-83.56392142,-52.47356653,3817,24632.70749,24632.70749
2020,MN,Total,"(0, 1, 0)",2,3830.646413,[3830.64638527 3830.64644071],-47.56392159,-83.56392159,-52.4735667,3276,554.646413,554.646413
2020,MN,Total,"(2, 1, 0)",3,-2206.531906,[-2206.53193447 -2206.53187772],-63.70363564,-100.3703023,-69.84069203,3276,-5482.531906,5482.531906
