Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2021,IN,Total,"(0, 2, 1)",2,2968.094117078596,[2443.127 3493.061],97.40715728804892,105.40715728804892,96.23547102535122,4917,-1948.905882921404,1948.905882921404
2022,IN,Total,"(0, 2, 1)",3,3387.329735809934,[2705.62  4069.039],97.40715728804892,105.40715728804892,96.23547102535122,NA,,
2023,IN,Total,"(0, 2, 1)",4,3832.3577280026316,[3002.843 4661.873],97.40715728804892,105.40715728804892,96.23547102535122,NA,,
2020,IN,Total,"(0, 2, 2)",1,3060.525018306219,[2459.034 3662.016],82.03665307891384,102.03665307891384,80.47440472865024,2139,921.525018306219,921.525018306219
2021,IN,Total,"(0, 2, 2)",2,3949.158476204685,[3294.792 4603.525],82.03665307891384,102.03665307891384,80.47440472865024,4917,-967.841523795315,967.841523795315
2022,IN,Total,"(0, 2, 2)",3,4971.2389142422235,[4257.616 5684.862],82.03665307891384,102.03665307891384,80.47440472865024,NA,,
2023,IN,Total,"(0, 2, 2)",4,6126.766332418834,[5348.963 6904.57 ],82.03665307891384,102.03665307891384,80.47440472865024,NA,,
2020,IN,Total,"(1, 1, 0)",1,2480.564651420356,[1730.711 3230.419],94.39219149584154,102.39219149584154,93.76746990352571,2139,341.56465142035586,341.56465142035586
2021,IN,Total,"(1, 1, 0)",2,2756.1647025155935,[1685.137 3827.192],94.39219149584154,102.39219149584154,93.76746990352571,4917,-2160.8352974844065,2160.8352974844065
2022,IN,Total,"(1, 1, 0)",3,3031.8051462000826,[1715.609 4348.001],94.39219149584154,102.39219149584154,93.76746990352571,NA,,
2023,IN,Total,"(1, 1, 0)",4,3307.446391477147,[1785.063 4829.83 ],94.39219149584154,102.39219149584154,93.76746990352571,NA,,
2020,IN,Total,"(1, 1, 1)",1,3244.135805610465,[2991.178 3497.094],339.28479471218424,359.28479471218424,338.45183258909645,2139,1105.135805610465,1105.135805610465
2021,IN,Total,"(1, 1, 1)",2,4286.863827398025,[3928.507 4645.22 ],339.28479471218424,359.28479471218424,338.45183258909645,4917,-630.136172601975,630.136172601975
2022,IN,Total,"(1, 1, 1)",3,5324.056258724595,[4885.409 5762.704],339.28479471218424,359.28479471218424,338.45183258909645,NA,,
2023,IN,Total,"(1, 1, 1)",4,6366.728228177269,[5859.936 6873.521],339.28479471218424,359.28479471218424,338.45183258909645,NA,,
2020,IN,Total,"(1, 1, 2)",1,2477.225607602909,[1727.577 3226.874],98.3901154796081,158.39011547960808,97.34891282574837,2139,338.2256076029089,338.2256076029089
2021,IN,Total,"(1, 1, 2)",2,2752.151001890605,[1673.178 3831.124],98.3901154796081,158.39011547960808,97.34891282574837,4917,-2164.848998109395,2164.848998109395
2022,IN,Total,"(1, 1, 2)",3,3027.0558452105815,[1698.004 4356.108],98.3901154796081,158.39011547960808,97.34891282574837,NA,,
2023,IN,Total,"(1, 1, 2)",4,3301.981238899104,[1762.959 4841.004],98.3901154796081,158.39011547960808,97.34891282574837,NA,,
2020,IN,Total,"(1, 2, 0)",1,3111.649906015371,[2142.72 4080.58],82.63834924787926,90.63834924787926,81.46666298518156,2139,972.649906015371,972.649906015371
2021,IN,Total,"(1, 2, 0)",2,3703.1896988476674,[2058.525 5347.854],82.63834924787926,90.63834924787926,81.46666298518156,4917,-1213.8103011523326,1213.8103011523326
2022,IN,Total,"(1, 2, 0)",3,4639.444611659792,[1994.343 7284.546],82.63834924787926,90.63834924787926,81.46666298518156,NA,,
2023,IN,Total,"(1, 2, 0)",4,5507.011352914881,[1816.328 9197.695],82.63834924787926,90.63834924787926,81.46666298518156,NA,,
2020,IN,Total,"(1, 2, 1)",1,2523.4812219505766,[2248.601 2798.362],117.11297807522969,137.1129780752297,115.55072972496609,2139,384.4812219505766,384.4812219505766
2021,IN,Total,"(1, 2, 1)",2,2854.966965418092,[2435.502 3274.432],117.11297807522969,137.1129780752297,115.55072972496609,4917,-2062.033034581908,2062.033034581908
2022,IN,Total,"(1, 2, 1)",3,3198.85369697356,[2652.371 3745.336],117.11297807522969,137.1129780752297,115.55072972496609,NA,,
2023,IN,Total,"(1, 2, 1)",4,3555.089465684031,[2889.074 4221.105],117.11297807522969,137.1129780752297,115.55072972496609,NA,,
2020,IN,Total,"(1, 2, 2)",1,2813.9838146042594,[2018.988 3608.98 ],85.08012914438261,145.08012914438262,83.12731870655311,2139,674.9838146042594,674.9838146042594
2021,IN,Total,"(1, 2, 2)",2,3513.1833401676495,[2313.409 4712.957],85.08012914438261,145.08012914438262,83.12731870655311,4917,-1403.8166598323505,1403.8166598323505
2022,IN,Total,"(1, 2, 2)",3,4301.309954656069,[2745.506 5857.114],85.08012914438261,145.08012914438262,83.12731870655311,NA,,
2023,IN,Total,"(1, 2, 2)",4,5181.646890635487,[3290.344 7072.95 ],85.08012914438261,145.08012914438262,83.12731870655311,NA,,
2020,IN,Total,"(2, 1, 0)",1,1946.7798964055826,[1298.127 2595.432],95.34646036660459,115.34646036660459,94.5134982435168,2139,-192.22010359441742,192.22010359441742
2021,IN,Total,"(2, 1, 0)",2,2192.639280152167,[1234.924 3150.355],95.34646036660459,115.34646036660459,94.5134982435168,4917,-2724.360719847833,2724.360719847833
2022,IN,Total,"(2, 1, 0)",3,2733.518038018495,[1720.111 3746.925],95.34646036660459,115.34646036660459,94.5134982435168,NA,,
2023,IN,Total,"(2, 1, 0)",4,3004.844011524251,[1956.979 4052.709],95.34646036660459,115.34646036660459,94.5134982435168,NA,,
2020,IN,Total,"(2, 1, 1)",1,910.4364634139592,[ 638.187 1182.686],137.56785862493558,197.56785862493558,136.52665597107585,2139,-1228.5635365860408,1228.5635365860408
2021,IN,Total,"(2, 1, 1)",2,785.9274651947846,[ 227.348 1344.507],137.56785862493558,197.56785862493558,136.52665597107585,4917,-4131.072534805216,4131.072534805216
2022,IN,Total,"(2, 1, 1)",3,2084.800640244508,[1489.395 2680.206],137.56785862493558,197.56785862493558,136.52665597107585,NA,,
2023,IN,Total,"(2, 1, 1)",4,2165.210229898629,[1569.797 2760.623],137.56785862493558,197.56785862493558,136.52665597107585,NA,,
2020,IN,Total,"(2, 1, 2)",1,2504.71454241015,[1706.909 3302.52 ],100.26281063361465,,,2139,365.71454241015,365.71454241015
2021,IN,Total,"(2, 1, 2)",2,2753.0618087812713,[1607.404 3898.719],100.26281063361465,,,4917,-2163.9381912187287,2163.9381912187287
2022,IN,Total,"(2, 1, 2)",3,2970.129153089186,[1568.178 4372.08 ],100.26281063361465,,,NA,,
2023,IN,Total,"(2, 1, 2)",4,3191.4119003434876,[1595.084 4787.739],100.26281063361465,,,NA,,
2020,IN,Total,"(2, 2, 0)",1,-2783.867920197725,[-3105.274 -2462.462],708.1147739722304,728.1147739722304,706.5525256219668,2139,-4922.867920197725,4922.867920197725
2021,IN,Total,"(2, 2, 0)",2,-19571.88078538321,[-20892.495 -18251.267],708.1147739722304,728.1147739722304,706.5525256219668,4917,-24488.88078538321,24488.88078538321
