Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2020,LA,Total,"(2, 1, 2)",3,262.96395766191563,[262.96392371 262.96399161],-39.56392159059294,-78.56392159059294,-46.92838925715425,652,-389.03604233808437,389.03604233808437
2021,LA,Total,"(2, 1, 2)",4,245.59811036555402,[245.59807117 245.59814956],-39.56392159059294,-78.56392159059294,-46.92838925715425,1841,-1595.401889634446,1595.401889634446
2018,LA,Total,"(2, 2, 0)",1,327.4280944172915,[327.42807482 327.42811402],-42.718780438570775,-79.38544710523745,-51.73265755188967,613,-285.5719055827085,285.5719055827085
2019,LA,Total,"(2, 2, 0)",2,371.86944624532043,[371.86940242 371.86949007],-42.718780438570775,-79.38544710523745,-51.73265755188967,720,-348.13055375467957,348.13055375467957
2020,LA,Total,"(2, 2, 0)",3,416.3240494141719,[416.32397608 416.32412275],-42.718780438570775,-79.38544710523745,-51.73265755188967,652,-235.6759505858281,235.6759505858281
2021,LA,Total,"(2, 2, 0)",4,460.7919039238459,[460.79179657 460.79201128],-42.718780438570775,-79.38544710523745,-51.73265755188967,1841,-1380.208096076154,1380.208096076154
2018,LA,Total,"(2, 2, 1)",1,327.4280944172915,[327.42807482 327.42811402],-40.718780438570775,-78.4330661528565,-50.634045263221566,613,-285.5719055827085,285.5719055827085
2019,LA,Total,"(2, 2, 1)",2,371.86944624532043,[371.86940242 371.86949007],-40.718780438570775,-78.4330661528565,-50.634045263221566,720,-348.13055375467957,348.13055375467957
2020,LA,Total,"(2, 2, 1)",3,416.3240494141719,[416.32397608 416.32412275],-40.718780438570775,-78.4330661528565,-50.634045263221566,652,-235.6759505858281,235.6759505858281
2021,LA,Total,"(2, 2, 1)",4,460.7919039238459,[460.79179657 460.79201128],-40.718780438570775,-78.4330661528565,-50.634045263221566,1841,-1380.208096076154,1380.208096076154
2018,LA,Total,"(2, 2, 2)",1,327.4280944172915,[327.42807482 327.42811402],-38.718780438570775,-77.71878043857078,-49.53543297455346,613,-285.5719055827085,285.5719055827085
2019,LA,Total,"(2, 2, 2)",2,371.86944624532043,[371.86940242 371.86949007],-38.718780438570775,-77.71878043857078,-49.53543297455346,720,-348.13055375467957,348.13055375467957
2020,LA,Total,"(2, 2, 2)",3,416.3240494141719,[416.32397608 416.32412275],-38.718780438570775,-77.71878043857078,-49.53543297455346,652,-235.6759505858281,235.6759505858281
2021,LA,Total,"(2, 2, 2)",4,460.7919039238459,[460.79179657 460.79201128],-38.718780438570775,-77.71878043857078,-49.53543297455346,1841,-1380.208096076154,1380.208096076154
2018,MI,Total,"(0, 1, 0)",1,2659.59394689076,[2659.59392729 2659.59396649],-47.56392159059334,-83.56392159059334,-52.47356670163421,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(0, 1, 0)",2,2618.525483745034,[2618.52545603 2618.52551146],-47.56392159059334,-83.56392159059334,-52.47356670163421,1830,788.5254837450339,788.5254837450339
2020,MI,Total,"(0, 1, 0)",3,2598.451511463267,[2598.45147752 2598.45154541],-47.56392159059334,-83.56392159059334,-52.47356670163421,3817,-1218.5484885367332,1218.5484885367332
2021,MI,Total,"(0, 1, 0)",4,2591.6158236800984,[2591.61578448 2591.61586288],-47.56392159059334,-83.56392159059334,-52.47356670163421,10477,-7885.384176319902,7885.384176319902
2018,MI,Total,"(0, 1, 1)",1,2659.59394689076,[2659.59392729 2659.59396649],-45.56392159059334,-81.56392159059334,-51.087272340514325,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(0, 1, 1)",2,2618.525483745034,[2618.52545603 2618.52551146],-45.56392159059334,-81.56392159059334,-51.087272340514325,1830,788.5254837450339,788.5254837450339
2020,MI,Total,"(0, 1, 1)",3,2598.451511463267,[2598.45147752 2598.45154541],-45.56392159059334,-81.56392159059334,-51.087272340514325,3817,-1218.5484885367332,1218.5484885367332
2021,MI,Total,"(0, 1, 1)",4,2591.6158236800984,[2591.61578448 2591.61586288],-45.56392159059334,-81.56392159059334,-51.087272340514325,10477,-7885.384176319902,7885.384176319902
2018,MI,Total,"(0, 1, 2)",1,2659.59394689076,[2659.59392729 2659.59396649],-43.56392159059334,-80.23058825726001,-49.70097797939443,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(0, 1, 2)",2,2618.525483745034,[2618.52545603 2618.52551146],-43.56392159059334,-80.23058825726001,-49.70097797939443,1830,788.5254837450339,788.5254837450339
2020,MI,Total,"(0, 1, 2)",3,2598.451511463267,[2598.45147752 2598.45154541],-43.56392159059334,-80.23058825726001,-49.70097797939443,3817,-1218.5484885367332,1218.5484885367332
2021,MI,Total,"(0, 1, 2)",4,2591.6158236800984,[2591.61578448 2591.61586288],-43.56392159059334,-80.23058825726001,-49.70097797939443,10477,-7885.384176319902,7885.384176319902
2018,MI,Total,"(0, 2, 0)",1,3613.5700609388296,[3613.57004134 3613.57008054],-46.71878043105464,-82.71878043105464,-53.92988212170976,3571,42.570060938829556,42.570060938829556
2019,MI,Total,"(0, 2, 0)",2,5071.523467165185,[5071.52342334 5071.52351099],-46.71878043105464,-82.71878043105464,-53.92988212170976,1830,3241.523467165185,3241.523467165185
2020,MI,Total,"(0, 2, 0)",3,7058.87049132539,[7058.87041799 7058.87056466],-46.71878043105464,-82.71878043105464,-53.92988212170976,3817,3241.8704913253896,3241.8704913253896
2021,MI,Total,"(0, 2, 0)",4,9553.663505927427,[9553.66339858 9553.66361328],-46.71878043105464,-82.71878043105464,-53.92988212170976,10477,-923.3364940725733,923.3364940725733
2018,MI,Total,"(0, 2, 1)",1,3613.5700609388296,[3613.57004134 3613.57008054],-44.718780436402724,-80.71878043640272,-52.83126983838974,3571,42.570060938829556,42.570060938829556
2019,MI,Total,"(0, 2, 1)",2,5071.523467165185,[5071.52342334 5071.52351099],-44.718780436402724,-80.71878043640272,-52.83126983838974,1830,3241.523467165185,3241.523467165185
2020,MI,Total,"(0, 2, 1)",3,7058.87049132539,[7058.87041799 7058.87056466],-44.718780436402724,-80.71878043640272,-52.83126983838974,3817,3241.8704913253896,3241.8704913253896
2021,MI,Total,"(0, 2, 1)",4,9553.663505927427,[9553.66339858 9553.66361328],-44.718780436402724,-80.71878043640272,-52.83126983838974,10477,-923.3364940725733,923.3364940725733
2018,MI,Total,"(0, 2, 2)",1,3613.5700609388296,[3613.57004134 3613.57008054],-42.718780436402724,-79.3854471030694,-51.73265754972162,3571,42.570060938829556,42.570060938829556
2019,MI,Total,"(0, 2, 2)",2,5071.523467165185,[5071.52342334 5071.52351099],-42.718780436402724,-79.3854471030694,-51.73265754972162,1830,3241.523467165185,3241.523467165185
